"realSum" "room" "capacity" "bedrooms" "dist" "metro" "attr" "rest" "lng" "lat" "host" "cleanliness" "satisfaction"
276,521453846695 2 2 1 7,72304800282528 3,24632959776985 60,5346150305193 74,7723109814209 4,78696 52,34881 1 10 9,6
587,725259531788 1 4 2 1,7768561018629 1,59525221698224 201,323536410813 261,992511706957 4,8824 52,3878 0 10 9,6
430,248634968247 1 2 1 2,30570256440795 1,5136773378543 187,937488592442 233,673584270815 4,85952 52,3759 0 10 9,8
1175,21617884845 1 4 3 2,06497815648418 0,12561007479937 400,2054373969 639,632157903655 4,89051 52,35474 0 9 9,8
798,631453143674 1 4 2 0,218359026069462 0,259152084500463 645,977990100722 823,456163468 4,89001 52,37271 1 8 8,7
3638,13183980503 1 4 3 0,724197749210584 0,186356852300587 442,958013098522 540,71305908824 4,90355 52,37202 0 10 9,7
479,460080144354 1 3 1 2,01002326268677 1,47509878625321 208,17943528075 245,560303271806 4,92243 52,37119 0 9 9,2
934,08009748553 1 2 1 1,15475966987061 1,28467662881106 339,706384597874 407,71339531854 4,879 52,379 1 10 9,9
484,14688444684 2 2 1 0,226415425494927 0,442660191544606 568,625736403717 784,750430886169 4,89148 52,37501 0 8 9,1
706,770088814942 1 2 1 1,06146829518202 0,740698703519491 452,742186523618 726,40786518841 4,88362 52,36566 0 10 10
639,045766644014 1 4 2 1,83762586039192 1,58422575596889 194,141382847451 253,208268563822 4,88431 52,38885 1 10 9,4
639,045766644014 2 5 2 1,08880194735734 1,21252767968649 370,170045594322 435,616171532729 4,87948 52,37836 1 10 9,9
1020,08295643615 1 4 2 1,38880257745903 0,126947748802452 482,456361081612 518,987293879153 4,89297 52,36075 0 9 9,6
1192,32301455253 1 4 2 0,711001157114987 0,895748991215627 451,08556692679 646,094904175256 4,88651 52,37819 0 10 9,8
798,631453143674 1 2 1 3,41827804385383 1,17432840045934 158,539819674909 200,846943500638 4,85108 52,35643 0 10 9,9
952,827314695475 1 4 3 3,38583288152889 0,859183842754517 182,699920532698 210,629596645021 4,8698 52,34635 0 10 9,8
614,44004405596 2 2 1 3,68112360039095 0,626129098575165 128,85255779421 160,756328320549 4,83983 52,36761 1 8 7,8
802,380896585663 1 4 1 2,06068201611235 1,06176887998484 548,189309479852 429,854377724849 4,87632 52,35782 0 10 9,7
1069,29440161226 1 4 3 3,76903848543726 1,5272098588701 120,517490496156 156,612505173804 4,93745 52,35297 0 10 9,8
265,507463735852 2 2 1 4,77541772269842 0,991526605113038 93,3707334510992 116,929577126784 4,82354 52,37872 0 10 9,7
328,310641389169 2 3 2 5,90264748015051 2,09543976000958 75,3197245290077 93,5899832175704 4,80745 52,38144 0 8 8,5
1163,26482787711 1 4 2 0,534692163486192 0,359049439233147 500,327876332875 659,533670954545 4,89766 52,36932 1 10 9,9
280,270897288684 2 2 1 2,40745497725843 1,34436474924888 183,531570801512 233,470717546268 4,92623 52,36568 0 10 9,2
553,042907693389 1 4 1 2,20754390108217 1,79846054511895 260,771338357892 307,975893570576 4,86502 52,36332 0 10 10
522,344339512104 2 2 1 1,10115273890675 0,351577763405437 496,14598318919 682,353253843849 4,88887 52,36368 1 10 9,7
614,44004405596 1 2 1 2,3789767341261 0,372753995050857 274,163014202416 356,285256672407 4,89525 52,35189 0 10 9,8
663,651489232067 1 2 1 3,60356658312345 0,566839809905379 142,296295754173 180,872502951026 4,9117 52,34291 0 8 8
279,099196213062 2 2 1 3,01862995584818 0,524689400576214 204,412401998217 265,838754633358 4,89016 52,34616 1 9 9,6
1044,68867902421 1 2 1 0,763267329877964 0,739732057589998 526,237729975314 605,452395907406 4,88204 52,37212 0 10 10
384,786633234129 2 2 1 4,13720368318966 2,84089325236984 94,1904680252603 119,04971018421 4,893 52,41042 1 9 9,3
589,834321467907 1 2 1 0,906272891211289 0,695096213135287 469,067708945276 796,075335035001 4,88614 52,36629 0 9 9,6
405,877252595318 1 2 1 3,63676907570084 0,440386141456535 123,575968449769 154,236913570873 4,8398 52,37533 1 10 8,9
2556,88608722143 1 6 3 0,970911959980532 1,09602649055958 432,558037760866 512,241680141908 4,88093 52,37778 1 10 9,9
985,634944812879 1 2 1 2,11962226724845 1,50861584102024 328,170749711126 341,152798915405 4,86897 52,3612 0 10 9,7
1214,11665455909 1 4 0 1,93784533740331 1,57279636066898 184,336075923631 243,160052011521 4,88783 52,39035 0 9 9,3
305,813980737234 2 4 1 3,71078695239775 0,221595386593071 119,551291831355 149,496426526561 4,83906 52,37755 0 10 9,6
297,377732992759 2 2 1 4,71894857820955 0,732174509734529 112,562843916416 138,726026266732 4,84805 52,34101 0 9 8,7
553,042907693389 1 4 1 4,4561352989426 0,412647747724043 115,881814586502 149,430533521373 4,83969 52,3501 1 10 9,9
1229,11442832705 1 4 2 4,01853927966437 0,614457959737508 117,689049505364 145,999950475089 4,83498 52,36698 1 8 8
251,915731258641 2 2 1 2,43040607156923 0,313177970361305 157,011362730744 192,154969180935 4,92126 52,38666 0 8 8,7
562,885196728611 2 4 1 0,958111463519253 0,988574592132427 525,858062457016 497,458997689356 4,8791 52,37409 0 10 9,6
903,615869519368 1 4 2 2,21902604210015 0,153451213445838 225,645759839459 299,828085218697 4,90945 52,35598 1 10 10
244,416844374663 2 2 1 1,2588877555998 1,13476320006172 374,483808282787 495,903167954296 4,87725 52,36741 1 10 9
221,45150329248 2 2 1 10,8534900602862 0,764033051247314 42,0251325811672 52,2417259519257 4,99856 52,30013 1 10 10
482,975183371218 1 2 1 0,559306059213901 0,586551573344996 425,769486696283 622,825290708868 4,89139 52,37815 1 9 9,2
436,341480561479 1 3 1 3,31273673041625 0,516871010644467 131,023986083975 165,082459689144 4,84563 52,37976 0 9 9
835,891547348441 1 2 1 1,13304054855424 0,419941893133602 404,930308548377 564,177108789615 4,89921 52,36376 0 10 10
833,548145197197 1 4 2 2,37916048139408 0,48221735626403 263,665368869651 330,888608742925 4,89712 52,35199 0 10 9,7
424,155789375015 1 2 1 1,59090544094565 1,51677705157252 296,454531821721 394,513880607581 4,87076 52,36905 0 10 9,6
602,254352869496 1 4 1 2,17844885725592 1,39719423420144 196,512524894691 237,32818673787 4,92428 52,36885 0 10 9,7
1425,96020903147 1 4 2 0,693804219531778 0,610414283574483 523,466624731854 696,369085063147 4,88385 52,37062 0 9 9,5
445,949429381576 2 2 1 1,04295043531911 1,10630698158373 437,622147502486 453,240928566849 4,87828 52,3756 0 9 8,9
267,850865887095 2 2 1 2,47416345307349 1,49985384483337 189,156830363185 237,606831016425 4,85705 52,37046 1 9 9,5
356,431467204087 2 2 0 2,49738973424883 0,567815874679664 217,665901261196 278,925513524694 4,905 52,352 1 10 10
1413,54017762988 2 4 4 2,52859349463319 1,47267928819301 294,07153817449 304,840870107177 4,86924 52,35582 0 10 9,5
479,460080144354 1 2 1 4,77431069382823 0,282051508808454 112,810976358137 140,20778939151 4,87274 52,33217 0 9 9,5
1473,76561291683 1 4 3 1,05029766028169 0,806464427006232 298,495023772901 413,099536226962 4,89033 52,38252 0 10 9,9
335,575188058023 1 2 1 3,14576454277049 0,665479667236393 138,850280257654 177,751074318276 4,84763 52,37824 1 9 9,6
623,11063201556 1 2 1 1,75034293712506 1,63559257240187 294,518002983581 378,400670514374 4,86941 52,36713 1 10 9,8
344,480116232747 1 3 0 5,21298607558419 3,83273377689937 80,7740320565509 100,734958200221 4,96965 52,37392 1 9 8,5
290,113186323905 2 2 1 2,21051936314916 1,20608127300476 199,428129429466 240,943206150031 4,92354 52,36633 1 8 8,2
725,282965809763 1 2 1 2,64343836642693 1,78553697690544 208,7519352895 253,13741031882 4,85894 52,36195 0 10 10
1106,3201556019 1 2 1 1,01841692401727 0,860175899479944 428,856356599068 618,259410319276 4,88194 52,36714 0 10 9,9
438,919222927847 1 2 1 2,53299574673744 0,34429915217818 272,121068630083 343,371857634206 4,88971 52,35056 1 10 9,3
349,166920535233 2 2 1 2,37021582436065 1,85626861405941 251,359098711799 299,653131095547 4,86389 52,36165 2 10 9,3
737,234316781103 1 2 1 2,44589201153502 0,626873243765226 226,567593508417 292,1312877809 4,90366 52,35222 0 8 8
307,22002202798 1 2 1 2,89497558709426 1,76884070635348 149,849623027061 193,863077472158 4,93321 52,36461 0 9 9,4
1997,51599371968 1 6 3 1,51227916255202 0,194110391633682 502,55481387124 494,861398470194 4,89319 52,35964 0 9 10
638,811426428889 1 2 1 4,02663798165762 0,872466206705206 133,074003190719 171,914360311633 4,84719 52,35043 0 9 9,9
1137,01872378319 1 4 3 3,19728318922666 0,54123811440405 176,635031332632 224,658840924873 4,89871 52,3447 0 10 9,7
405,877252595318 2 4 1 11,1871153436103 0,423894001359766 40,9313541632047 50,8772398398827 4,99213 52,29304 0 10 9
749,654348182692 1 4 2 3,76061854316846 2,30488289652242 116,400082167726 148,277750017986 4,94418 52,36039 0 10 9,7
453,448316265554 2 2 0 0,830719619255734 0,451423804138422 487,44780455625 969,657436595905 4,8954 52,3659 2 10 9,4
474,304595411619 1 2 0 0,744379957398194 0,512056398840895 520,429801711496 839,70728001312 4,8939 52,36656 2 9 9,1
307,22002202798 2 2 1 2,23875733441571 0,234258095291329 228,921741225729 303,71589974151 4,90795 52,35528 1 10 9,9
762,074379584281 2 4 2 1,28223183669724 1,19756556690964 350,087467134418 457,117627219912 4,87548 52,36917 0 10 10
818,550371429241 2 2 1 1,34737785916039 0,616777131412164 284,109561389142 321,401253576017 4,90699 52,38186 0 9 9
649,122395894359 1 2 1 1,59103684940824 1,51388361016265 298,030852895616 394,622911629919 4,87085 52,36887 0 10 10
420,406345933026 1 2 0 2,13793218380902 0,0577114571692112 366,687246774147 442,748533752625 4,89098 52,35406 0 9 9,4
206,453729524524 2 2 0 6,37300541681925 3,65569069046574 68,0883032876599 85,2662095364329 4,98397 52,35955 0 10 9,9
651,231457830478 1 2 1 0,90328019178537 0,974313607058537 580,616717519032 516,158388665168 4,88033 52,37543 0 10 9,8
897,054343495887 1 2 1 3,246686510564 0,733237556692158 131,228832843571 166,259169931626 4,84777 52,38229 0 10 9,6
405,877252595318 1 2 1 1,48680746461357 1,52579952372513 243,544998228561 315,344842649308 4,8793 52,38359 0 10 9,8
